x,y
38.81956,-82.1611
38.14111,-82.0439
36.9378,-83.1733
37.9033,-83.645
37.8411,-82.4117
37.23,-83.0576
37.1869,-83.3208
36.8244,-81.9231
36.8689,-81.9722
37.0536,-82.8575
37.0181,-83.5389
36.8994,-83.3158
36.9175,-82.9011
36.895,-82.6328
38.4019,-82.4367
36.7439,-83.7442
37.5903,-83.1556
37.0514,-82.0425
37.7142,-80.895
37.7339,-80.9167
36.6108,-84.0189
